millis,stamp,datetime,degree,distance
303005,1694973677,2023/9/17 18:01,103,17
303039,1694973677,2023/9/17 18:01,104,17
304016,1694973678,2023/9/17 18:01,156,0
305005,1694973679,2023/9/17 18:01,164,18
306007,1694973680,2023/9/17 18:01,111,17
306040,1694973680,2023/9/17 18:01,110,17
307001,1694973681,2023/9/17 18:01,60,25
307035,1694973681,2023/9/17 18:01,59,25
308013,1694973682,2023/9/17 18:01,10,21
309015,1694973683,2023/9/17 18:01,41,40
310010,1694973684,2023/9/17 18:01,89,25
311008,1694973685,2023/9/17 18:01,142,16
312017,1694973686,2023/9/17 18:01,174,39
313006,1694973687,2023/9/17 18:01,123,16
313038,1694973687,2023/9/17 18:01,122,0
314009,1694973688,2023/9/17 18:01,71,24
315016,1694973689,2023/9/17 18:01,28,39
316017,1694973690,2023/9/17 18:01,24,66
317009,1694973691,2023/9/17 18:01,72,23
318016,1694973692,2023/9/17 18:01,125,16
319019,1694973693,2023/9/17 18:01,178,58
320010,1694973694,2023/9/17 18:01,138,16
321010,1694973695,2023/9/17 18:01,85,24
322018,1694973696,2023/9/17 18:01,35,13
323005,1694973697,2023/9/17 18:01,16,21
323038,1694973697,2023/9/17 18:01,17,6
324002,1694973698,2023/9/17 18:01,63,24
324036,1694973698,2023/9/17 18:01,64,24
325013,1694973699,2023/9/17 18:01,115,17
326009,1694973700,2023/9/17 18:01,168,18
327003,1694973701,2023/9/17 18:01,146,0
327036,1694973701,2023/9/17 18:01,145,17
328015,1694973702,2023/9/17 18:01,93,25
329019,1694973703,2023/9/17 18:01,45,39
330016,1694973704,2023/9/17 18:01,6,22
331019,1694973705,2023/9/17 18:01,45,40
332017,1694973706,2023/9/17 18:01,97,19
333014,1694973707,2023/9/17 18:01,150,17
334014,1694973708,2023/9/17 18:01,167,19
335012,1694973709,2023/9/17 18:01,114,16
336008,1694973710,2023/9/17 18:01,62,25
336040,1694973710,2023/9/17 18:01,61,0
337002,1694973711,2023/9/17 18:01,13,0
337036,1694973711,2023/9/17 18:01,12,21
338020,1694973712,2023/9/17 18:01,38,40
339019,1694973713,2023/9/17 18:01,85,24
340001,1694973714,2023/9/17 18:01,137,13
340035,1694973714,2023/9/17 18:01,138,16
341039,1694973715,2023/9/17 18:01,178,1190
342017,1694973716,2023/9/17 18:01,127,16
343004,1694973717,2023/9/17 18:01,75,0
343037,1694973717,2023/9/17 18:01,74,24
344017,1694973718,2023/9/17 18:01,25,22
345001,1694973719,2023/9/17 18:01,25,468
346014,1694973720,2023/9/17 18:02,76,23
347018,1694973721,2023/9/17 18:02,129,16
348004,1694973722,2023/9/17 18:02,179,714
349012,1694973723,2023/9/17 18:02,137,16
350016,1694973724,2023/9/17 18:02,84,24
351003,1694973725,2023/9/17 18:02,37,40
351039,1694973725,2023/9/17 18:02,36,65
352006,1694973726,2023/9/17 18:02,14,21
352039,1694973726,2023/9/17 18:02,15,21
